Position,Venue Space,Map Key,Position Index,Device ID,Technology,Model,Orientation,Driven By,Content Class,DMP Present,Countable Ad Position,Winter Status,Confidence,Source,Status,Defect Flag,Notes
Walt Plaza UNPLACED 04,Walt Whitman Plaza,,4,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,,"Videri sheet states 4 Spark canvases in Walt Whitman Plaza. No location key, no device ID, no map cluster. Indoor-rated hardware in an outdoor position."
Ben Lobby CAROUSEL 1,Ben Franklin Lobby,CAROUSEL,1,,Legacy,PHIL 55,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"CAROUSEL is a suspended circular truss ring carrying displays around its circumference facing outward. Photo-confirmed 2026-08-30: four displays on one ring, media players with four blue LEDs mounted behind them. ConcertVision position, endpoint of the house program path."
Ben Lobby CAROUSEL 2,Ben Franklin Lobby,CAROUSEL,2,,Legacy,OLD SAM 55,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"CAROUSEL is a suspended circular truss ring carrying displays around its circumference facing outward. Photo-confirmed 2026-08-30: four displays on one ring, media players with four blue LEDs mounted behind them. ConcertVision position, endpoint of the house program path."
Ben Lobby CAROUSEL 3,Ben Franklin Lobby,CAROUSEL,3,,Legacy,OLD SAM 55,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"CAROUSEL is a suspended circular truss ring carrying displays around its circumference facing outward. Photo-confirmed 2026-08-30: four displays on one ring, media players with four blue LEDs mounted behind them. ConcertVision position, endpoint of the house program path."
Ben Lobby CAROUSEL 4,Ben Franklin Lobby,CAROUSEL,4,,Legacy,Untyped,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,Untyped,"CAROUSEL is a suspended circular truss ring carrying displays around its circumference facing outward. Photo-confirmed 2026-08-30: four displays on one ring, media players with four blue LEDs mounted behind them. ConcertVision position, endpoint of the house program path. DEFECT 4: qty states 4, the type column names only 3. This is the untyped unit. Identify on foot."
Ben Lobby MERCH 1,Ben Franklin Lobby,MERCH,1,,Legacy,OLD SAM 48,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,ConcertVision position. Photographed 2026-08-30 under the MERCHANDISE sign carrying artist branding on a show night.
Ben Lobby MERCH 2,Ben Franklin Lobby,MERCH,2,,Legacy,OLD SAM 48,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,ConcertVision position. Photographed 2026-08-30 under the MERCHANDISE sign carrying artist branding on a show night.
Ben Lobby KOKO'S 1,Ben Franklin Lobby,KOKO'S,1,,Legacy,OLD SAM 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation and the Ben map cluster. Weakest row in the allocation. Check first.
Ben Lobby KOKO'S 2,Ben Franklin Lobby,KOKO'S,2,,Legacy,OLD SAM 55,Landscape,Unknown,Unknown,Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,Zone assigned by legacy allocation and the Ben map cluster. Weakest row in the allocation. Check first.
Walt Lobby ENTRANCE DOORS 1,Walt Whitman Lobby,ENTRANCE DOORS,1,C VISION,Samsung OH,OH55A-S,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,Carries C VISION in the Samsung sheet ID column where every other row carries a numeric range. The only direct printed link between the signage estate and the ConcertVision path. Photographed 2026-08-30: four displays in two pairs above the entrance doors carrying artist branding.
Walt Lobby ENTRANCE DOORS 2,Walt Whitman Lobby,ENTRANCE DOORS,2,C VISION,Samsung OH,OH55A-S,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,Carries C VISION in the Samsung sheet ID column where every other row carries a numeric range. The only direct printed link between the signage estate and the ConcertVision path. Photographed 2026-08-30: four displays in two pairs above the entrance doors carrying artist branding.
Walt Lobby ENTRANCE DOORS 3,Walt Whitman Lobby,ENTRANCE DOORS,3,C VISION,Samsung OH,OH55A-S,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,Carries C VISION in the Samsung sheet ID column where every other row carries a numeric range. The only direct printed link between the signage estate and the ConcertVision path. Photographed 2026-08-30: four displays in two pairs above the entrance doors carrying artist branding.
Walt Lobby ENTRANCE DOORS 4,Walt Whitman Lobby,ENTRANCE DOORS,4,C VISION,Samsung OH,OH55A-S,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,"Samsung sheet,Total TV List",📄 Paper only,,Carries C VISION in the Samsung sheet ID column where every other row carries a numeric range. The only direct printed link between the signage estate and the ConcertVision path. Photographed 2026-08-30: four displays in two pairs above the entrance doors carrying artist branding.
Walt Lobby CAROUSEL 1,Walt Whitman Lobby,CAROUSEL,1,,Legacy,PHIL 55,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"CAROUSEL is a suspended circular truss ring carrying displays around its circumference facing outward. Photo-confirmed 2026-08-30: four displays on one ring, media players with four blue LEDs mounted behind them. ConcertVision position, endpoint of the house program path."
Walt Lobby CAROUSEL 2,Walt Whitman Lobby,CAROUSEL,2,,Legacy,OLD SAM 55,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"CAROUSEL is a suspended circular truss ring carrying displays around its circumference facing outward. Photo-confirmed 2026-08-30: four displays on one ring, media players with four blue LEDs mounted behind them. ConcertVision position, endpoint of the house program path."
Walt Lobby CAROUSEL 3,Walt Whitman Lobby,CAROUSEL,3,,Legacy,OLD SAM 55,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,"CAROUSEL is a suspended circular truss ring carrying displays around its circumference facing outward. Photo-confirmed 2026-08-30: four displays on one ring, media players with four blue LEDs mounted behind them. ConcertVision position, endpoint of the house program path."
Walt Lobby MERCH 1,Walt Whitman Lobby,MERCH,1,,Legacy,PHIL 48,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,ConcertVision position. Endpoint of the house program path.
Walt Lobby MERCH 2,Walt Whitman Lobby,MERCH,2,,Legacy,PHIL 48,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,,ConcertVision position. Endpoint of the house program path.
Lobby YB1 1,🔴 Lobby unresolved,YB1,1,082,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S5, Total TV List says S4. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby YB1 2,🔴 Lobby unresolved,YB1,2,083,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S5, Total TV List says S4. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby BB1 1,🔴 Lobby unresolved,BB1,1,084,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S4, Total TV List says S5. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby MD1 1,🔴 Lobby unresolved,MD1,1,086,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"087 collision,Lobby unresolved","DEFECT 2: 087 is also assigned to MLB. Orphans 085 and 092 sit unused; MD1 reading 085-086 would resolve it cleanly. Do not correct the sheet on that basis, read the two displays. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby MD1 2,🔴 Lobby unresolved,MD1,2,087,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"087 collision,Lobby unresolved","DEFECT 2: 087 is also assigned to MLB. Orphans 085 and 092 sit unused; MD1 reading 085-086 would resolve it cleanly. Do not correct the sheet on that basis, read the two displays. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby MLB 1,🔴 Lobby unresolved,MLB,1,087,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"087 collision,Lobby unresolved",DEFECT 2: 087 is also assigned to MD1. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk.
Lobby MLB 2,🔴 Lobby unresolved,MLB,2,088,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"087 collision,Lobby unresolved",DEFECT 2: 087 is also assigned to MD1. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk.
Lobby MLB 3,🔴 Lobby unresolved,MLB,3,089,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"087 collision,Lobby unresolved",DEFECT 2: 087 is also assigned to MD1. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk.
Lobby MLB 4,🔴 Lobby unresolved,MLB,4,090,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"087 collision,Lobby unresolved",DEFECT 2: 087 is also assigned to MD1. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk.
Lobby MIC 1,🔴 Lobby unresolved,MIC,1,091,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"ID gap,Lobby unresolved","DEFECT 5: skips 092. Probably intentional, lowest priority. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby MIC 2,🔴 Lobby unresolved,MIC,2,093,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"ID gap,Lobby unresolved","DEFECT 5: skips 092. Probably intentional, lowest priority. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby MIC 3,🔴 Lobby unresolved,MIC,3,094,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"ID gap,Lobby unresolved","DEFECT 5: skips 092. Probably intentional, lowest priority. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby 782 1,🔴 Lobby unresolved,782,1,095,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S5, Total TV List says S4. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby 782 2,🔴 Lobby unresolved,782,2,096,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S5, Total TV List says S4. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby 782 3,🔴 Lobby unresolved,782,3,097,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S5, Total TV List says S4. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby 782 4,🔴 Lobby unresolved,782,4,098,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S5, Total TV List says S4. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby 782 5,🔴 Lobby unresolved,782,5,099,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,"Type conflict,Lobby unresolved","DEFECT 3: Videri sheet says S5, Total TV List says S4. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 01,🔴 Lobby unresolved,,1,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 02,🔴 Lobby unresolved,,2,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 03,🔴 Lobby unresolved,,3,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 04,🔴 Lobby unresolved,,4,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 05,🔴 Lobby unresolved,,5,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 06,🔴 Lobby unresolved,,6,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 07,🔴 Lobby unresolved,,7,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 08,🔴 Lobby unresolved,,8,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 09,🔴 Lobby unresolved,,9,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 10,🔴 Lobby unresolved,,10,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 11,🔴 Lobby unresolved,,11,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 12,🔴 Lobby unresolved,,12,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 13,🔴 Lobby unresolved,,13,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 14,🔴 Lobby unresolved,,14,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 15,🔴 Lobby unresolved,,15,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 16,🔴 Lobby unresolved,,16,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 17,🔴 Lobby unresolved,,17,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 18,🔴 Lobby unresolved,,18,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 19,🔴 Lobby unresolved,,19,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
Lobby UNPLACED 20,🔴 Lobby unresolved,,20,,Videri Spark,,Unknown,Videri cloud,Menu board,Not checked,Unknown,Unknown,🔴 Unidentified,Videri sheet,🔴 Unplaced,Lobby unresolved,"No location key, no device ID, no map cluster. Keys 781 and SC1 appear in the lobby map cluster with no quantity and are presumably among these. Videri sheet states Ben Franklin Lobby 13 and Walt Whitman Lobby 24. It does not say which units. The keyed fragments sum to 17 and therefore span both lobbies in a split that cannot be resolved by arithmetic. Held here rather than assigned. Resolve on the lobby walk."
VIP STREET SIDE 1,VIP (generic),STREET SIDE,1,,Legacy,Untyped,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,Untyped,"ConcertVision position. Generic VIP inventory group. Does NOT map to Black Box VIP, Black Box VIP Patio or VIP Club. Do not assign to any of the three until someone stands in the room."
VIP STREET SIDE 2,VIP (generic),STREET SIDE,2,,Legacy,Untyped,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,Untyped,"ConcertVision position. Generic VIP inventory group. Does NOT map to Black Box VIP, Black Box VIP Patio or VIP Club. Do not assign to any of the three until someone stands in the room."
VIP LOBBY SIDE 1,VIP (generic),LOBBY SIDE,1,,Legacy,Untyped,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,Untyped,"ConcertVision position. Generic VIP inventory group. Does NOT map to Black Box VIP, Black Box VIP Patio or VIP Club. Do not assign to any of the three until someone stands in the room."
VIP LOBBY SIDE 2,VIP (generic),LOBBY SIDE,2,,Legacy,Untyped,Landscape,ConcertVision DMP,"Program-capable,Ads",Not checked,Unknown,Unknown,🟡 Paper only,Total TV List,📄 Paper only,Untyped,"ConcertVision position. Generic VIP inventory group. Does NOT map to Black Box VIP, Black Box VIP Patio or VIP Club. Do not assign to any of the three until someone stands in the room."
